question,question_type,detected_intent,selected_path,final_answer,response_time_seconds,retrieved_document_count,retrieved_sources,validation_result,answer_quality_score,document_relevance_score,hallucination_detected,success,error_message,comments
What are the main tourist attractions in Marrakech?,simple,factual,factual,"The main tourist attractions in Marrakech include Jemaa el-Fna Square, Koutoubia Mosque, Bahia Palace, El Badi Palace, and Majorelle Garden. Visitors can also explore the historic Medina, which is a UNESCO World Heritage Site featuring narrow streets, traditional houses, colorful souks, and historic monuments.",11.904,4,"[""Marrakech.pdf, page 1"", ""Marrakech.pdf, page 2"", ""Marrakech.pdf, page 6""]",needs_revision,4,5,True,True,,answer has no filename/page source reference; factual claims have no filename/page source reference
Why is Marrakech known as the Red City?,simple,general,general,"Marrakech is known as the Red City due to the color of its historic walls and buildings, which are made from red sandstone. This can be directly supported by information found in [Source 1: Marrakech.pdf, page 0].",6.52,4,"[""Marrakech.pdf, page 0"", ""Marrakech.pdf, page 7""]",valid,5,5,False,True,,
When was Marrakech founded and which dynasty founded it?,simple,general,general,"Marrakech was founded in 1070 by Abu Bakr ibn Umar of the Almoravid dynasty. The Almoravid dynasty is mentioned as the founder in both Source 1 and Source 2, which are the supporting filenames for this information.",6.747,4,"[""Marrakech.pdf, page 0"", ""Marrakech.pdf, page 1"", ""Marrakech.pdf, page 6""]",valid,4,5,True,True,,answer has no filename/page source reference; factual claims have no filename/page source reference
What architectural features can visitors see at Bahia Palace?,simple,general,general,Visitors to Bahia Palace can see carved cedar ceilings and elegant courtyards that showcase traditional Moroccan craftsmanship.,6.035,4,"[""Marrakech.pdf, page 1"", ""Marrakech.pdf, page 2"", ""Marrakech.pdf, page 7""]",valid,4,5,True,True,,answer has no filename/page source reference; factual claims have no filename/page source reference
What are the best seasons to visit Marrakech?,simple,general,general,"The best seasons to visit Marrakech are March to May and September to November. These periods offer comfortable temperatures for exploring the city and nearby attractions. The climate in Marrakech is semi-arid, with spring (March–May) being pleasant with average temperature ranging from 20-28°C, summer (June–August) very hot with an average of 35-42°C, autumn (September–November) having comfortable temperatures and excellent for outdoor activities with an average of 22-30°C, and winter (December–February) offering mild days with cool evenings averaging at 8-22°C.",6.968,4,"[""Marrakech.pdf, page 5"", ""Marrakech.pdf, page 6"", ""Marrakech.pdf, page 1"", ""Marrakech.pdf, page 0""]",valid,4,5,True,True,,answer has no filename/page source reference; factual claims have no filename/page source reference
Why is Chefchaouen called the Blue Pearl of Morocco?,simple,general,general,"Chefchaouen is called the Blue Pearl of Morocco due to its iconic blue walls, which are believed to have been introduced by Jewish refugees fleeing Spain during the late 15th century. The city's unique architecture features nearly all buildings in the historic Medina painted in various shades of blue, commonly associated with spirituality, peace, and the sky.",6.417,4,"[""Chefchaoun.pdf, page 0"", ""Chefchaoun.pdf, page 6""]",valid,4,5,True,True,,answer has no filename/page source reference; factual claims have no filename/page source reference
What can visitors see at the Kasbah Museum in Chefchaouen?,simple,general,general,"At the Kasbah Museum in Chefchaouen, visitors can see beautiful gardens, a small ethnographic museum, historical artifacts, and a tower offering panoramic views of the city.",6.179,4,"[""Chefchaoun.pdf, page 1"", ""Chefchaoun.pdf, page 2"", ""Chefchaoun.pdf, page 0""]",valid,4,5,True,True,,answer has no filename/page source reference; factual claims have no filename/page source reference
Which local foods are listed for Chefchaouen?,simple,general,general,"The retrieved context lists several local foods for Chefchaouen, including:

- Chicken Tagine with olives and preserved lemons
- Vegetable Tagine 
- Couscous
- Harira Soup
- Grilled meat skewers
- Goat cheese produced in the Rif region
- Moroccan Mint Tea
- Msemen
- Baghrir
- Traditional Moroccan pastries

These are all traditional Moroccan dishes prepared with fresh local ingredients.",6.695,4,"[""Chefchaoun.pdf, page 2"", ""Chefchaoun.pdf, page 1"", ""Chefchaoun.pdf, page 6"", ""Chefchaoun.pdf, page 3""]",valid,4,4,True,True,,answer has no filename/page source reference; factual claims have no filename/page source reference
What route does the Al Boraq high-speed train follow?,simple,transport,transport,"The Al Boraq high-speed train follows the route of Tangier → Kenitra → Rabat → Casablanca. The maximum speed is 320 km/h and the travel times are approximately 1 hour 20 minutes from Tangier to Rabat, and approximately 2 hours 10 minutes from Tangier to Casablanca.",6.86,4,"[""Transportation in Morocco.pdf, page 1"", ""Transportation in Morocco.pdf, page 0"", ""Transportation in Morocco.pdf, page 6""]",needs_revision,1,5,True,True,,answer does not match the detected intent structure; answer has no filename/page source reference; specialized result is missing; answer conflicts with deterministic tool output; factual claims have no filename/page source reference
What is the difference between petit taxis and grand taxis in Morocco?,simple,comparison,comparison,"The retrieved context does not provide specific differences between petit taxis and grand taxis in Morocco. It only mentions that petit taxis operate within city limits, have metered fares in most cities, are available throughout the day, suitable for short trips, and come in different colors based on the city (red in Casablanca, beige in Marrakech, blue in Rabat, turquoise in Tangier). Grand taxis, on the other hand, connect different cities and villages with shared transportation, fixed routes, lower cost than private transfers, and suitable for destinations not served by trains.",7.564,4,"[""Transportation in Morocco.pdf, page 3"", ""Transportation in Morocco.pdf, page 0"", ""Transportation in Morocco.pdf, page 7""]",needs_revision,1,5,True,True,,answer does not match the detected intent structure; answer has no filename/page source reference; specialized result is missing; answer conflicts with deterministic tool output; factual claims have no filename/page source reference
